id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,0001_01_01_000003_create_password_reset_tokens_table,1
5,0001_01_01_000004_create_sessions_table,1
6,2025_01_01_000001_create_pokedex_table,1
7,2025_01_01_000002_create_leagues_table,1
8,2025_01_01_000003_create_match_configs_table,1
9,2025_01_01_000004_create_pools_table,1
10,2025_01_01_000005_create_teams_table,1
11,2025_01_01_000006_create_league_pokemon_table,1
12,2025_01_01_000007_create_drafts_table,1
13,2025_01_01_000008_create_draft_order_table,1
14,2025_01_01_000009_create_draft_picks_table,1
15,2025_01_01_000010_create_sets_table,1
16,2025_12_06_222147_match_config_minimum_drafts,2
17,2025_01_15_100000_create_telescope_entries_table,3
18,2026_03_16_010334_league_match_count,4
19,2026_03_16_013929_league_match_count_rename,4
20,2026_03_16_173024_league_open__league,4
21,2026_03_16_190919_teams_placement_medals,5
22,2026_03_16_200746_draft_bans,6
23,2026_03_17_005801_create_draft_config_table,7
24,2026_03_17_011510_add_ban_config_to_draft_config_table,7
25,2026_03_17_011516_update_draft_ban_tables,7
26,2026_03_17_015734_add_banned_to_league_pokemon_table,7
27,2026_03_17_150200_move_round_count_to_match_configs,7
28,2026_03_17_162204_add_points_to_sets_table,8
29,2026_03_17_175802_add_discord_webhook_url_to_leagues_table,9
30,2026_03_17_181642_add_discord_replay_webhook_to_leagues_and_replays_to_sets,9
31,2026_03_17_184824_add_discord_id_to_users_table,9
32,2026_03_17_184824_create_trades_table,9
33,2026_03_17_184825_create_trade_pokemon_table,9
34,2026_03_17_192756_make_ban_config_columns_nullable_on_draft_config_table,9
35,2026_03_17_214946_add_discord_username_to_users_table,9
36,2026_03_23_135820_create_telescope_entries_table,10
37,2026_03_23_151537_create_version_groups_and_pokemon_game_data_tables,10
38,2026_03_23_151730_add_name_index_to_pokedex_table,10
39,2026_03_23_165149_create_team_pokepastes_table,10
40,2026_03_23_172041_create_set_team_pokepastes_and_drop_team_pokepastes_table,10
41,2026_03_23_172942_create_version_group_held_items_table,10
42,2026_03_23_175127_add_public_id_to_set_team_pokepastes_table,10
43,2026_03_23_180724_create_set_team_pokepaste_slots_table,10
44,2026_03_24_000650_create_match_prep_notes_table,10
45,2026_03_24_004218_drop_replay_notes_from_match_prep_notes_table,10
46,2026_03_24_120000_add_bring_six_and_resize_plan_slots_on_match_prep_notes,10
47,2026_03_24_012725_create_playoffs_table,11
48,2026_03_24_012726_create_playoff_matches_table,11
49,2026_03_24_130021_create_league_pokemon_templates_table,12
50,2026_03_24_130022_create_league_pokemon_template_rows_table,12
51,2026_03_24_134719_add_version_group_id_to_league_pokemon_templates_table,12
52,2026_03_24_142935_add_is_published_to_league_pokemon_templates_table,12
53,2026_03_24_142941_add_matchable_to_set_team_pokepastes_table,12
54,2026_03_24_142941_add_require_team_match_pokepaste_to_match_configs_table,12
55,2026_03_24_142941_create_pokemon_usage_stats_tables,12
56,2026_03_24_195313_add_dropped_at_and_nullable_user_id_to_teams_table,13
57,2026_03_24_195313_nullable_team2_and_bye_on_sets_table,13
58,2026_03_24_195314_add_counterparty_and_nullable_target_team_to_trades_table,13
