id,nationaldex_id,name,type1,type2,sprite_url,created_at,updated_at
1,1,bulbasaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/bulbasaur.png,2025-12-06 22:38:25,2025-12-06 22:38:25
2,2,ivysaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ivysaur.png,2025-12-06 22:38:25,2025-12-06 22:38:25
3,3,venusaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venusaur.png,2025-12-06 22:38:25,2025-12-06 22:38:25
4,3.002,venusaur-mega,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venusaur-mega.png,2025-12-06 22:38:25,2025-12-06 22:38:25
5,4,charmander,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charmander.png,2025-12-06 22:38:25,2025-12-06 22:38:25
6,5,charmeleon,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charmeleon.png,2025-12-06 22:38:25,2025-12-06 22:38:25
7,6,charizard,Fire,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard.png,2025-12-06 22:38:25,2025-12-06 22:38:25
8,6.001,charizard-mega-x,Fire,Dragon,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard-mega-x.png,2025-12-06 22:38:25,2025-12-06 22:38:25
9,6.002,charizard-mega-y,Fire,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard-mega-y.png,2025-12-06 22:38:25,2025-12-06 22:38:25
10,7,squirtle,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/squirtle.png,2025-12-06 22:38:25,2025-12-06 22:38:25
11,8,wartortle,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/wartortle.png,2025-12-06 22:38:25,2025-12-06 22:38:25
12,9,blastoise,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/blastoise.png,2025-12-06 22:38:25,2025-12-06 22:38:25
13,9.001,blastoise-mega,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/blastoise-mega.png,2025-12-06 22:38:25,2025-12-06 22:38:25
14,10,caterpie,Bug,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/caterpie.png,2025-12-06 22:38:25,2025-12-06 22:38:25
15,11,metapod,Bug,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/metapod.png,2025-12-06 22:38:25,2025-12-06 22:38:25
16,12,butterfree,Bug,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/butterfree.png,2025-12-06 22:38:25,2025-12-06 22:38:25
17,13,weedle,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/weedle.png,2025-12-06 22:38:25,2025-12-06 22:38:25
18,14,kakuna,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kakuna.png,2025-12-06 22:38:25,2025-12-06 22:38:25
19,15,beedrill,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/beedrill.png,2025-12-06 22:38:25,2025-12-06 22:38:25
20,15.001,beedrill-mega,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/beedrill-mega.png,2025-12-06 22:38:25,2025-12-06 22:38:25
21,16,pidgey,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgey.png,2025-12-06 22:38:25,2025-12-06 22:38:25
22,17,pidgeotto,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgeotto.png,2025-12-06 22:38:25,2025-12-06 22:38:25
23,18,pidgeot,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgeot.png,2025-12-06 22:38:25,2025-12-06 22:38:25
24,18.001,pidgeot-mega,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgeot-mega.png,2025-12-06 22:38:25,2025-12-06 22:38:25
25,19,rattata,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rattata.png,2025-12-06 22:38:25,2025-12-06 22:38:25
26,19.001,rattata-alola,Dark,Normal,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rattata-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
27,20,raticate,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/raticate.png,2025-12-06 22:38:25,2025-12-06 22:38:25
28,20.001,raticate-alola,Dark,Normal,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/raticate-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
29,21,spearow,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/spearow.png,2025-12-06 22:38:25,2025-12-06 22:38:25
30,22,fearow,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/fearow.png,2025-12-06 22:38:25,2025-12-06 22:38:25
31,23,ekans,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ekans.png,2025-12-06 22:38:25,2025-12-06 22:38:25
32,24,arbok,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/arbok.png,2025-12-06 22:38:25,2025-12-06 22:38:25
33,25,pikachu,Electric,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pikachu.png,2025-12-06 22:38:25,2025-12-06 22:38:25
34,26,raichu,Electric,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/raichu.png,2025-12-06 22:38:25,2025-12-06 22:38:25
35,26.001,raichu-alola,Electric,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/raichu-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
36,27,sandshrew,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/sandshrew.png,2025-12-06 22:38:25,2025-12-06 22:38:25
37,27.001,sandshrew-alola,Ice,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/sandshrew-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
38,28,sandslash,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/sandslash.png,2025-12-06 22:38:25,2025-12-06 22:38:25
39,28.001,sandslash-alola,Ice,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/sandslash-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
