id,nationaldex_id,name,type1,type2,sprite_url,created_at,updated_at
1,1.0,bulbasaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/bulbasaur.png,,
2,2.0,ivysaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ivysaur.png,,
3,3.0,venusaur,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venusaur.png,,
4,3.002,venusaur-mega,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venusaur-mega.png,,
5,4.0,charmander,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charmander.png,,
6,5.0,charmeleon,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charmeleon.png,,
7,6.0,charizard,Fire,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard.png,,
8,6.001,charizard-mega-x,Fire,Dragon,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard-mega-x.png,,
9,6.002,charizard-mega-y,Fire,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/charizard-mega-y.png,,
10,7.0,squirtle,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/squirtle.png,,
11,8.0,wartortle,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/wartortle.png,,
12,9.0,blastoise,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/blastoise.png,,
13,9.001,blastoise-mega,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/blastoise-mega.png,,
14,10.0,caterpie,Bug,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/caterpie.png,,
15,11.0,metapod,Bug,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/metapod.png,,
16,12.0,butterfree,Bug,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/butterfree.png,,
17,13.0,weedle,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/weedle.png,,
18,14.0,kakuna,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kakuna.png,,
19,15.0,beedrill,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/beedrill.png,,
20,15.001,beedrill-mega,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/beedrill-mega.png,,
21,16.0,pidgey,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgey.png,,
22,17.0,pidgeotto,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgeotto.png,,
23,18.0,pidgeot,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/pidgeot.png,,
